device-type,device-name,llm,quantization,calibration,BLEU,METEOR,BERTScore,tps
GPU,A5000,llama3.1,Q4_K_M,base,0.189137,0.4766120000000001,0.8225519999999998,54.23618235531003
GPU,A5000,llama3.3:70b,Q4_K_M,base,0.2668909999999999,0.5593780000000002,0.8470759999999999,9.876570185905845
GPU,A5000,llama3.1:70b,Q4_K_M,base,0.2515179999999999,0.551621,0.8389030000000001,10.61258826905479
GPU,A5000,qwen2:72b,Q4_K_M,base,0.2294489999999999,0.529885,0.8268800000000001,9.149139207025035
GPU,A100,llama3.1:latest,Q4_K_M,base,0.192687,0.487097,0.823753,85.07868243432023
GPU,A100,llama3.1:70b,Q4_K_M,base,0.246667,0.548126,0.8372790000000001,18.893924006207296
GPU,A100,qwen2.5:72b,Q4_K_M,base,0.242141,0.537267,0.8393709999999999,13.60311132384958
NPU,RNGD,llama3.1,W8A8,base,0.09673399999999999,0.33153299999999997,0.7465189999999999,14.683567610010362
