device-type,device-name,llm,quantization,calibration,precision,recall,f1,tps
GPU,A5000,llama3.3:70b,Q4_K_M,base,0.6041081345478189,0.7414908822450157,0.7167239453738162,701.3497951990024
GPU,A100,llama3.1:70b,Q4_K_M,base,0.6305832984416131,0.7653856507825895,0.7477034444687516,1036.458702325656
GPU,A100,llama3.1,Q4_K_M,base,0.6392087029728745,0.7395981590438591,0.7468337982504079,3646.2970345330086
GPU,A100,qwen2.5:72b,Q4_K_M,base,0.5846146748160077,0.7991024439815776,0.7231773827863736,784.726219974738
GPU,A5000,llama3.1:70b,Q4_K_M,base,0.6314018298986356,0.7660675968516081,0.7484737481322099,713.8735623637834
GPU,A5000,llama3.1,Q4_K_M,base,0.6392902127793546,0.7399470517687382,0.7477621841171569,2150.250596064197
NPU,RNGD,llama3.1,W8A8,base,0.6995300441186151,0.7343994315408028,0.7929108773658462,1649.414685974044
